path,family,inventory_supported,notes
/,inicio,yes,static/section route
/articulos/20-errores-que-debes-evitar-si-o-si-en-rio-de-janeiro,articulos,yes,article detail
/articulos/electricidad-y-adaptadores-en-brasil-enchufes-y-voltaje,articulos,yes,article detail
/articulos/preparando-las-maletas-para-rio-clima-ropa-e-imprevistos,articulos,yes,article detail
/articulos/viajar-a-brasil-fiebre-amarilla-y-salud,articulos,yes,article detail
/articulos/visado-requisitos-de-entrada-y-aduana-en-brasil,articulos,yes,article detail
/atracciones,atracciones,yes,static/section route
/aventura,aventura,yes,static/section route
/barrios,barrios,yes,static/section route
/barrios/barra-da-tijuca-ilha-da-gigoia,barrios,yes,iframe barrio deep-link
/barrios/botafogo,barrios,yes,iframe barrio deep-link
/barrios/catete-largo-do-machado-gloria,barrios,yes,iframe barrio deep-link
/barrios/centro-historico-pequena-africa,barrios,yes,iframe barrio deep-link
/barrios/cinelandia-lapa-santa-teresa,barrios,yes,iframe barrio deep-link
/barrios/copacabana,barrios,yes,iframe barrio deep-link
/barrios/cosme-velho-humaita,barrios,yes,iframe barrio deep-link
/barrios/flamengo,barrios,yes,iframe barrio deep-link
/barrios/floresta-da-tijuca-alto-da-boa-vista,barrios,yes,iframe barrio deep-link
/barrios/ipanema,barrios,yes,iframe barrio deep-link
/barrios/laranjeiras,barrios,yes,iframe barrio deep-link
/barrios/leblon,barrios,yes,iframe barrio deep-link
/barrios/recreio-vargens-guaratiba-sepetiba,barrios,yes,iframe barrio deep-link
/barrios/sao-conrado-gavea-jardim-botanico-lagoa,barrios,yes,iframe barrio deep-link
/barrios/urca,barrios,yes,iframe barrio deep-link
/barrios/zona-norte,barrios,yes,iframe barrio deep-link
/cafe-ernestinho,cafe-ernestinho,yes,static/section route
/centros-culturales,centros-culturales,yes,static/section route
/compras,compras,yes,static/section route
/consejos,consejos,yes,static/section route
/copacabana,copacabana,yes,static/section route
/descubre-rio,descubre-rio,yes,static/section route
/espacios-literarios,espacios-literarios,yes,static/section route
/eventos,eventos,yes,static/section route
/experiencias,experiencias,yes,static/section route
/experiencias/angra-dos-reis,experiencias,yes,experience/activity detail
/experiencias/aquario-boulevard-olimpico,experiencias,yes,experience/activity detail
/experiencias/arraial-do-cabo,experiencias,yes,experience/activity detail
/experiencias/buzios-tour-en-goleta,experiencias,yes,experience/activity detail
/experiencias/cristo-city-tour,experiencias,yes,experience/activity detail
/experiencias/favela-rocinha,experiencias,yes,experience/activity detail
/experiencias/full-day-rio,experiencias,yes,experience/activity detail
/experiencias/lancha-privada,experiencias,yes,experience/activity detail
/experiencias/maracana-experience,experiencias,yes,experience/activity detail
/experiencias/morro-dois-irmaos,experiencias,yes,experience/activity detail
/experiencias/parasail-en-rio,experiencias,yes,experience/activity detail
/experiencias/pedra-bonita,experiencias,yes,experience/activity detail
/experiencias/pedra-do-telegrafo,experiencias,yes,experience/activity detail
/experiencias/petropolis-ciudad-imperial,experiencias,yes,experience/activity detail
/experiencias/rapel-con-ernestinho,experiencias,yes,experience/activity detail
/experiencias/salto-en-paracaidas,experiencias,yes,experience/activity detail
/experiencias/trekking-pedra-da-gavea,experiencias,yes,experience/activity detail
/experiencias/vivir-un-partido-de-futbol-en-rio,experiencias,yes,experience/activity detail
/experiencias/vuela-en-helicoptero,experiencias,yes,experience/activity detail
/experiencias/vuelo-en-parapente,experiencias,yes,experience/activity detail
/familia,familia,yes,static/section route
